רשות מקומית,סוג מתקן,שם המתקן,שכונה-רובע,רחוב,מספר בית,גוף מפעיל המתקן,טלפון איש קשר,שנת הקמה,משרת בית ספר,X_GEO,Y_GEO
אור יהודה,מגרש טניס,היכל הספורט,מרכז,מנחם בגין,81,מרכז קהילתי ע'ש פירסט ופרלמן בע'מ,03-7353565,,,32.02785588,34.8568713
אור יהודה,מגרש כדורסל – 19X32 מ',היכל הספורט,מרכז,מנחם בגין,81,מרכז קהילתי ע'ש פירסט ופרלמן בע'מ,03-7353565,,"ארזים , הפרדס",32.0268786,34.85565764
אור יהודה,מכון לכושר גופני,היכל הספורט,מרכז,מנחם בגין,81,מרכז קהילתי ע'ש פירסט ופרלמן בע'מ,03-5335551,,,32.0268784,34.85558354
אור יהודה,אצטדיון כדורגל – 105X70 מ',מגרש כדורגל עירוני,גיורא,המלכים,25,מרכז קהילתי ע'ש פירסט ופרלמן בע'מ,03-7353565,,,32.03187482,34.8657274
אור יהודה,מגרש חול קבוע לכדורעף או לקטרגל או לכדוריד חופים,מגרש כדורעף חופים,גיורא,פארק קנדה,,מרכז קהילתי ע'ש פירסט ופרלמן בע'מ,03-7353565,,פרקאוף,32.03319373,34.85987885
אור יהודה,מגרש כדורגל - לא תקני,מגרש סיני,סקיא,סיני,,מרכז קהילתי ע'ש פירסט ופרלמן בע'מ,03-7353565,,,32.02580884,34.85036892
אור יהודה,מגרש כדורגל - לא תקני,מגרש קט רגל,גיורא,פארק קנדה,,מרכז קהילתי ע'ש פירסט ופרלמן בע'מ,03-7353565,,,32.0332816,34.85903161
אור יהודה,אולם ספורט בינוני – 32x19 מ',מרכז הפיס,גיורא,החצב,19,מרכז קהילתי ע'ש פירסט ופרלמן בע'מ,03-5337501,,"סביונים, אלונים",32.03013854,34.86392358
אור יהודה,מכון לכושר גופני,מרכז הפיס,גיורא,החצב,19,מרכז קהילתי ע'ש פירסט ופרלמן בע'מ,03-5337501,,,32.03080696,34.86771094
אור יהודה,מתקן פתוח לכושר גופני,מתקני כושר בפארק,נוה רבין,צפריר,,מרכז קהילתי ע'ש פירסט ופרלמן בע'מ,03-7353565,,,32.02429876,34.8721912
אור יהודה,מתקן פתוח לכושר גופני,מתקני כושר בפארק,גיורא,פארק קנדה,,מרכז קהילתי ע'ש פירסט ופרלמן בע'מ,03-7353565,,פרקאוף,32.03301739,34.8613616
אור יהודה,מגרש ספורט משולב – 43X32 מ',נווה רבין,נוה רבין,צפריר,,מרכז קהילתי ע'ש פירסט ופרלמן בע'מ,03-7353565,,,32.02429876,34.8721912
אור יהודה,אולם ספורט קטן – 15x24 מ',סעדיה גאון,סקיא,הגולן,9,מרכז קהילתי ע'ש פירסט ופרלמן בע'מ,03-6342923,,סעדיה גאון,32.03008331,34.84394792
אור יהודה,אולם ספורט קטן – 20x10 מ',פרקאוף,גיורא,יקותיאל אדם,17,תיכון פרקאוף,03-5330469,,פרקאוף,32.03258633,34.86203015
אור עקיבא,אולם ספורט גדול - 45X24 מ',אולם ספורט אורות,שכונת אורות,מנחם בגין,1,מתנ'ס אור עקיבא,054-7728513,1997,"מנחם בגין, חנה סנש, תמרי",32.50001179,34.9216353
אור עקיבא,אולם ספורט גדול - 45X24 מ',אולם ספורט שז'ר,שכונת שז'ר,שז'ר,810,מתנ'ס אור עקיבא,054-7728513,1991,"רבי עקיבא, תחכמוני ,עציון",32.51180941,34.91500022
אור עקיבא,מתקן פתוח לכושר גופני,אופק,זבוטינסקי,זבוטינסקי,,עירית אור עקיבא,04-6361340,1964,אופק,32.50641238,34.92087035
אור עקיבא,מגרש טניס,אור עקיבא,רוטשילד,,,מתנ'ס אור עקיבא,04-6361340,1971,,32.51840126,34.9190234
אור עקיבא,מכון לכושר גופני,אורות,אורות,תמרי,,מתנ'ס אור עקיבא,04-6361340,1997,,32.50236648,34.92620358
אור עקיבא,מכון לכושר גופני,אורות,אורות,קניון אורות,,חברה פרטית גרייט שייפ,04-6361340,2007,,32.50227843,34.92716154
אור עקיבא,מכון לכושר גופני,אורות,אורות,דוד המלך,,מתנ'ס אור עקיבא,04-6361340,1997,,32.4999185,34.92025229
אור עקיבא,מתקן פתוח לכושר גופני,אורות,אורות,גני רבין,,עירית אור עקיבא,04-6361340,2000,,32.50415878,34.92119666
אור עקיבא,אצטדיון כדורגל – 105X70 מ',אורות,אורות,,,עירית אור עקיבא,04-6361340,1970,עתידים מנחם בגין,32.50207685,34.91769166
אור עקיבא,מגרש ספורט משולב – 43X32 מ',אורות,בית ספר תמרי,,,"עירית אור עקיבא, מתנ'ס",04-6361340,1997,"תמרי,חנה סנש",32.51217498,34.91712749
אור עקיבא,מתקן פתוח לכושר גופני,בגין,אורות,קרית חינוך,,עירית אור עקיבא,04-6361340,1997,בגין,32.50126965,34.91960959
אור עקיבא,אולם ספורט גדול - 45X24 מ',בי'ס דרור,אורות הירוקה,,,עיריית אור עקיבא,,2017,"כן, רוטשילד ודרור",32.51755032,34.91756802
אור עקיבא,מתקן פתוח לכושר גופני,בן גוריון,בן גוריון,890,,עירית אור עקיבא,04-6361340,1992,,32.51343252,34.91499502
אור עקיבא,מתקן פתוח לכושר גופני,חנה סנש,אורות,קרית חינוך,,עירית אור עקיבא,04-6361340,1997,חנה סנש,32.50045737,34.91929292
אור עקיבא,מתקן פתוח לכושר גופני,מתנ'ס,מרכז מסחרי,מרכז מסחרי,,עירית אור עקיבא,04-6361340,1971,,32.50758005,34.91884477
אור עקיבא,אולם ספורט קטן – 20x10 מ',עציון,אור עקיבא,קנדי,19,בית ספר עציון,04-6362413,1974,עציון,32.51181332,34.91670295
אור עקיבא,אולם ספורט קטן – 15x24 מ',עתידים,שכונת אורות,יצחק רבין,1,בית ספר עתידים,04-6262302,1997,עתידים,32.5016255,34.91748027
אור עקיבא,מתקן פתוח לכושר גופני,קניון אורות,אורות,קניון אורות,,עירית אור עקיבא,04-6361340,1995,,32.50227866,34.92726795
אור עקיבא,אולם ספורט קטן – 20x10 מ',רבי עקיבא,אור עקיבא,הלל,80,בית ספר רבי עקיבא,04-6361220,1960,רבי עקיבא,32.5076622,34.91533276
אור עקיבא,מתקן פתוח לכושר גופני,רבי עקיבא,שכונת הלל,בו יהודה,,עירית אור עקיבא,04-6361340,1952,רבי עקיבא,32.50748186,34.91533334
אור עקיבא,מתקן פתוח לכושר גופני,רוטשילד,בן יהודה,בו יהודה,,עירית אור עקיבא,04-6361340,1954,רוטשילד,32.50929261,34.9185201
אור עקיבא,מכון לכושר גופני,שז'ר,שז'ר,שז'ר,,מתנ'ס אור עקיבא,04-6361340,1991,,32.51288608,34.91265547
אור עקיבא,מתקן פתוח לכושר גופני,שז'ר,שז'ר,810,,עירית אור עקיבא,04-6361340,1993,,32.5136136,34.91531371
אור עקיבא,מגרש טניס,שז'ר,שז'ר,,,מתנ'ס אור עקיבא,04-6361340,1991,,32.51235557,34.91723334
אור עקיבא,מגרש טניס,שז'ר,שז'ר,,,מתנ'ס אור עקיבא,04-6361340,1991,,32.51235557,34.91723334
אור עקיבא,מגרש ספורט משולב – 43X32 מ',שז'ר,בית ספר עציון,,,"עירית אור עקיבא, מתנ'ס",04-6361340,1974,"עציון,תחכמוני",32.51127301,34.91702394
אורנית,אולם ספורט קטן – 20x10 מ',אולם פיס,,השקד,7,מועצה מקומית אורנית,03-9360465,1987,ביה'ס היסודי אורנית,32.13178581,34.99558448
אורנית,מגרש כדורגל – 45X90 מ',מגרש כדורגל,,מבוא אורנית,,מועצה מקומית אורנית,03-9360465,1999,,32.12231529,34.99454639
אורנית,מגרש כדורסל – 19X32 מ',מגרש כדורסל מקורה,,מבוא אורנית,,מועצה מקומית אורנית,03-9360465,1999,חט'ב אורנית,32.12276618,34.99454535
אורנית,מגרש כדורסל – 19X32 מ',מגרש כדורסל פתוח ליד המועצה,,,,מועצה מקומית אורנית,03-9360465,1991,,32.12998224,34.99558859
אורנית,מגרש פטאנק או כדורת דשא,מגרש פטנק,,השקד,,מועצה מקומית אורנית,03-9360465,2009,,32.13088402,34.99558653
אורנית,בריכת שחיה - 25X12.5 מ',מועדון הספורט אורנית,,מבוא אורנית,,מועדון הספורט אורנית,03-9360322,1993,,32.1218644,34.99454742
אזור,אולם ספורט בינוני – 32x19 מ',אולם ספורט טוטו רבין,,השקמה,4,מועצה מקומית אזור,035507101,2016,כן טיבת רבין,32.03029701,34.79830003
אזור,אולם ספורט קטן – 15x24 מ',ביה'ס השבעה,ויצמן,השבעה,1,ביה'ס+מתנ'ס,03-5503244,1974,השבעה,32.02005642,34.80806213
אזור,מגרש ספורט משולב – 43X32 מ',ביה'ס השבעה,ויצמן,השבעה,1,ביה'ס,03-5503244,2004,השבעה,32.02032596,34.80774342
אזור,מגרש כדורסל – 19X32 מ',ביה'ס יוספטל,יצחק שדה,יצחק שדה,1,ביה'ס,03-5506761,2005,יוספטל+מתנ'ס,32.02627941,34.80824704
אזור,מגרש כדורסל – 19X32 מ',ביה'ס מימון,קפלן,קפלן,15,ביה'ס,03-5501821,1987,מימון,32.02159934,34.811231
אזור,מתקן פתוח לכושר גופני,גן 'פופאי',בן גוריון,ז'בוטינסקי,12,מתנ'ס,03-5507101,2009,,32.02034437,34.81367088
אזור,מגרש כדורסל – 19X32 מ',גן ירושלים,ירושלים,ירושלים,18,מתנ'ס,03-5507101,2000,,32.03202746,34.80081192
אזור,מתקן פתוח לכושר גופני,גן ירושלים,הרצוג,הרצוג,5,מועצה,03-5507101,2009,,32.03121045,34.79912172
אזור,מגרש כדורגל – 45X90 מ',הפועל אזור,יצחק שדה,יצחק שדה,17,מתנ'ס,03-5507101,1980,,32.02340718,34.81259936
אזור,מגרש ספורט משולב – 43X32 מ',חטיבה ע'ש רבין,הרצוג,הרצוג,4,ביה'ס,03-5590646,2004,רבין,32.03075855,34.79880613
אזור,מתקן פתוח לכושר גופני,כושר גופני בן צבי,בן גוריון,בן צבי,10,מועצה מקומית אזור,,2015,,32.01791189,34.8144433
אזור,מגרש כדורסל – 19X32 מ',מגרש כדורסל,,רחוב המצודה,,מועצה מקומית אזור,035507101,2017,לא,32.02798271,34.79933707
אזור,מגרש מיני פיץ',מגרש מיני פיץ' פארק המצודה,,המצודה,,מועצה מקומית אזור,035507101,2016,לא,32.02798271,34.79933707
אזור,אולם ספורט גדול - 45X24 מ',מתנ'ס אזור,יצחק שדה,יצחק שדה,17,מתנ'ס,03-5507101,1976,,32.02340489,34.8118584
אזור,מגרש כדורסל – 19X32 מ',מתנ'ס אזור,יצחק שדה,יצחק שדה,17,מתנ'ס,03-5507101,1977,,32.02295432,34.81196617
אזור,מתקן פתוח לכושר גופני,מתקני כושר לקהילה,,המצודה,,מועצה מקומית אזור,035507101,2017,,32.02798271,34.79933707
אזור,מתקן פתוח לכושר גופני,מתקני כושר לקהילה,,משה שרת,20,מועצה מקומית אזור,035507101,2012,,32.02801849,34.80207863
אזור,מכון לכושר גופני,מתקני כושר לקהילה,,בן צבי,48,מועצה מקומית אזור,035507101,2013,,32.01413661,34.81550713
אזור,מגרש מיני פיץ',פארק 'בגין',ד'ר ליכט,ד'ר ליכט,9,מועצה,03-5507101,2007,,32.02332352,34.81471676
אזור,מגרש פטאנק או כדורת דשא,פארק 'בגין',ד'ר ליכט,ד'ר ליכט,9,מתנ'ס,03-5507101,2009,,32.02332255,34.81439921
אזור,מתקן פתוח לכושר גופני,פארק 'בגין',ד'ר ליכט,ד'ר ליכט,9,מועצה,03-5507101,2007,,32.02341435,34.81492808
אילת,אולם ספורט בינוני – 32x19 מ',אולם בית הפועל,רחוב האשל,רחוב האשל,,עיריית אילת,,1960,,29.54829881,34.94124564
אילת,אולם ספורט קטן – 15x24 מ',אולם גלים-עף,שחמון,ששת הימים,,עיריית אילת,,2016,,29.54063556,34.93033998
אילת,אולם ספורט בינוני – 32x19 מ',אולם יובל,,,,עיריית אילת,,2006,יובל,29.54445728,34.92869955
אילת,אולם ספורט קטן – 15x24 מ',אולם מצפה ים-עף,מצפה ים,דקר,,עירייה,08-6367124,1997,בי'ס מצפה ים,29.55570069,34.93438539
אילת,אולם ספורט בינוני – 32x19 מ',אולם עציון,עציון,ששת הימים,,עיריית אילת,,2006,,29.54446738,34.93361052
אילת,אולם ספורט בינוני – 32x19 מ',אולם צאלים,,,,עיריית אילת,,2012,יסודי צאלים,29.5534102,34.93044996
אילת,מגרש כדורסל – 19X32 מ',איילת השחר,,,,עיריית אילת,,2009,,29.55941598,34.94723265
אילת,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),אקסטרים,קולייר,סמטת עומר,,מתנ'ס,08-6331018,,,29.54795688,34.96558569
אילת,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),באולינג,תירות,קאמן,,תירות,08-6325858,,,29.57355612,35.13134022
אילת,אולם ספורט קטן – 20x10 מ',בי'ס אופיר,אופיר,יותם,,עירייה,08-6367124,1972,בי'ס אופיר,29.55612312,34.94260803
אילת,אולם ספורט קטן – 20x10 מ',בי'ס אורים,אורים,שביל גרניט,,עירייה,08-6367124,1977,בי'ס אורים,29.5649712,34.94160487
אילת,מכון לכושר גופני,בי'ס אלון,תירות,חטיבת הנגב,,תירות,08-6367124,2016,בי'ס אור החיים,29.54993969,34.9645183
אילת,מגרש ספורט משולב – 43X32 מ',בי'ס בגין,אורים,הספורטאים,,עירייה,08-6367124,,,29.56274494,34.93810215
אילת,אולם ספורט בינוני – 32x19 מ',בי'ס גולדווטר,צופית תחתית,יותם,,עירייה,08-6367124,1970,בי'ס גולדווטר,29.5534487,34.94979635
אילת,אולם ספורט קטן – 20x10 מ',בי'ס חב'ד,הדקל,נחשון,,עירייה,08-6367124,1980,בי'ס חב'ד,29.56316432,34.94953463
אילת,אולם ספורט קטן – 20x10 מ',בי'ס יעלים,יעלים,יעלים,,עירייה,08-6367124,1973,בי'ס יעלים,29.56347704,34.95267087
אילת,אולם ספורט קטן – 20x10 מ',בי'ס ערבה,ערבה,סמטת שור,,עירייה,08-6367124,1965,אולפנה,29.56113981,34.94298721
אילת,מגרש ספורט משולב – 43X32 מ',בי'ס רבין,שחמון,ששת הימים,,עירייה,08-6367124,2002,בי'ס רבין,29.55099298,34.93960844
אילת,בריכת שחיה - 25X12.5 מ',בריכה עירונית,צופית תחתית,דרך יותם,,קבלן,08-6367124,1974,,29.55409064,34.95053765
אילת,מתקן אקסטרים,החלקה על הקרח,,,,פרטי,,2015,,29.55215437,34.96198515
אילת,אולם ספורט גדול - 45X24 מ',היכל הספורט בגין,מערב,דרך הרים,,עירייה,086367572,2008,בי'ס בגין,29.56274494,34.93810215
אילת,אולם ספורט בינוני – 32x19 מ',היכל הספורט רבין,שחמון,ששת הימים,,עירייה,08-6367124,2002,בי'ס רבין,29.55289129,34.93700333
אילת,אולם ספורט בינוני – 32x19 מ',היכל ספורט אלון,יעלים,שדרות התמרים,,עירייה,086367572,1989,,29.5646892,34.94966495
אילת,מגרש חול קבוע לכדורעף או לקטרגל או לכדוריד חופים,חוף ציון,תירות,פעמי השלום,,עירייה,08-6367124,2009,,29.54992151,34.95465454
אילת,מגרש חול קבוע לכדורעף או לקטרגל או לכדוריד חופים,חוף רויאל ביץ,תירות,פעמי השלום,,עירייה,08-6367124,2005,,29.54878272,34.96329323
אילת,מתקן אקסטרים,טופ 94,,,,פרטי מסחרי,,2015,,29.59892494,34.95407966
אילת,מגרש פטאנק או כדורת דשא,טיילת הרודס,תירות,טיילת פעמי השלום,,עירייה,08-6367124,2008,,29.51317824,34.92367895
אילת,מגרש טניס,טניס מגרשים עירוניים6 מגרשים עירוניים,צופית תחתית,דרך יותם,,עירייה,08-6367124,1982,,29.5534506,34.95078688
אילת,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),כדור סל 24X14 יעלים מקורה,מערב 1,מערב 1,,עירייה,08-6367124,2007,יעלים,29.56386234,34.94199987
אילת,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),כדור סל פתוח,המערב,יהל,,עירייה,08-6367124,,,29.56085162,34.95258451
אילת,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),מגרש כדורגל חוף צפוני 64X105,תירות,קאמפן,,עירייה,08-6367124,1995,,29.55003056,34.95507731
אילת,מגרש כדורגל – 45X90 מ',מגרש חוף צפוני,תירות,קאמפן,,עירייה,08-6367124,1995,,29.55607472,34.96475144
אילת,"אצטדיון/מסלול אתלטיקה קלה – 6-4 מסלולים, 250 או 300 מ'",מגרש כדורגל-רבין,,,,עיריית אילת,,2006,,29.54386355,34.92951622
אילת,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),מגרש משולב 22X36 צאלים,צאלים,יהל,,עירייה,08-6367124,2000,צאלים,29.56079859,34.93476394
אילת,מגרש כדורסל – 19X32 מ',מגרש משולב 26X18 יובל,יובל,בני ישראל,,עירייה,08-6367124,2004,,29.54958242,34.93354529
